sales_id,buyer_id,supplier_id,organization_id,product_id,project_id,quantity,total_amount_usd,sale_date,payment_mode,status
SALE00017,BUY010,SUP001,ORG007,PRD005,PRJ002,53,45817.97,2020-10-29,Wire Transfer,Cancelled
SALE00018,BUY002,SUP008,ORG005,PRD006,PRJ005,19,16423.03,2020-02-24,Bank Transfer,Completed
SALE00019,BUY002,SUP005,ORG003,PRD002,PRJ002,80,380680.0,2023-05-29,Bank Transfer,Pending
SALE00020,BUY007,SUP010,ORG010,PRD005,PRJ002,26,22476.74,2020-03-15,Bank Transfer,Completed
SALE00021,BUY001,SUP005,ORG002,PRD006,PRJ006,85,73471.45,2022-09-25,PayPal,Completed
SALE00022,BUY006,SUP003,ORG004,PRD007,PRJ002,76,29230.36,2021-04-15,PayPal,Completed
SALE00023,BUY009,SUP002,ORG009,PRD008,PRJ009,13,56475.38,2025-11-24,PayPal,Cancelled
SALE00024,BUY010,SUP007,ORG003,PRD006,PRJ008,64,55319.68,2023-01-04,PayPal,Pending
SALE00025,BUY001,SUP002,ORG006,PRD004,PRJ005,43,130437.49,2021-05-26,Bank Transfer,Cancelled
SALE00026,BUY010,SUP005,ORG002,PRD004,PRJ005,67,203239.81,2025-02-11,Credit Card,Completed
SALE00027,BUY003,SUP003,ORG003,PRD007,PRJ008,97,37307.17,2025-03-11,Credit Card,Cancelled
SALE00028,BUY010,SUP008,ORG003,PRD010,PRJ008,97,346247.32,2021-08-22,Credit Card,Cancelled
SALE00029,BUY002,SUP009,ORG001,PRD008,PRJ002,47,204180.22,2022-04-04,Credit Card,Cancelled
SALE00030,BUY010,SUP004,ORG008,PRD004,PRJ007,84,254808.12,2024-08-07,PayPal,Pending
SALE00031,BUY007,SUP009,ORG002,PRD005,PRJ004,58,50140.42,2020-03-04,PayPal,Cancelled
SALE00032,BUY003,SUP001,ORG003,PRD004,PRJ008,65,197172.95,2025-12-31,Wire Transfer,Completed
SALE00033,BUY005,SUP007,ORG009,PRD005,PRJ007,24,20747.76,2020-03-15,PayPal,Completed
SALE00034,BUY002,SUP001,ORG004,PRD001,PRJ005,44,85151.0,2025-12-19,UPI,Cancelled
SALE00035,BUY008,SUP001,ORG008,PRD002,PRJ002,75,356887.5,2020-01-27,Bank Transfer,Cancelled
SALE00036,BUY002,SUP001,ORG009,PRD010,PRJ005,95,339108.2,2024-08-01,Wire Transfer,Pending
SALE00037,BUY004,SUP005,ORG002,PRD009,PRJ010,19,57863.74,2022-06-23,Credit Card,Completed
SALE00038,BUY009,SUP010,ORG005,PRD005,PRJ007,71,61378.79,2024-09-04,PayPal,Completed
SALE00039,BUY008,SUP006,ORG007,PRD009,PRJ002,68,207091.28,2020-11-30,Bank Transfer,Pending
SALE00040,BUY008,SUP001,ORG010,PRD005,PRJ008,23,19883.27,2020-06-01,UPI,Completed
SALE00041,BUY001,SUP010,ORG008,PRD002,PRJ002,30,142755.0,2022-02-09,UPI,Completed
SALE00042,BUY008,SUP007,ORG009,PRD001,PRJ009,5,9676.25,2025-06-07,PayPal,Pending
SALE00043,BUY007,SUP006,ORG007,PRD001,PRJ003,58,112244.5,2021-03-18,Bank Transfer,Completed
SALE00044,BUY004,SUP008,ORG003,PRD010,PRJ002,24,85669.44,2020-04-28,Credit Card,Pending
SALE00045,BUY004,SUP004,ORG002,PRD008,PRJ005,71,308442.46,2023-02-22,Wire Transfer,Pending
SALE00046,BUY003,SUP002,ORG005,PRD002,PRJ001,42,199857.0,2021-10-14,UPI,Cancelled
SALE00047,BUY007,SUP006,ORG006,PRD005,PRJ007,84,72617.16,2023-09-07,PayPal,Completed
SALE00048,BUY006,SUP008,ORG010,PRD003,PRJ004,1,3686.77,2025-12-10,PayPal,Pending
SALE00049,BUY007,SUP002,ORG010,PRD007,PRJ004,40,15384.4,2025-01-27,Credit Card,Pending
SALE00050,BUY004,SUP003,ORG009,PRD002,PRJ009,73,347370.5,2023-03-11,PayPal,Cancelled
SALE00051,BUY005,SUP004,ORG005,PRD010,PRJ004,26,92808.56,2021-03-22,Wire Transfer,Completed
SALE00052,BUY003,SUP003,ORG007,PRD003,PRJ003,63,232266.51,2023-01-02,UPI,Completed
SALE00053,BUY010,SUP001,ORG010,PRD010,PRJ004,69,246299.64,2022-09-08,UPI,Cancelled
SALE00054,BUY001,SUP002,ORG004,PRD006,PRJ009,1,864.37,2021-02-14,PayPal,Cancelled
SALE00055,BUY005,SUP009,ORG001,PRD010,PRJ003,95,339108.2,2022-04-30,Credit Card,Completed
SALE00056,BUY002,SUP009,ORG009,PRD009,PRJ004,62,188818.52,2021-05-03,PayPal,Cancelled
SALE00057,BUY010,SUP010,ORG009,PRD003,PRJ002,83,306001.91,2020-06-23,Wire Transfer,Pending
SALE00058,BUY005,SUP001,ORG001,PRD010,PRJ010,31,110656.36,2020-07-23,Wire Transfer,Cancelled
SALE00059,BUY010,SUP001,ORG009,PRD005,PRJ007,37,31986.13,2021-03-12,PayPal,Cancelled
SALE00060,BUY005,SUP003,ORG007,PRD010,PRJ008,34,121365.04,2022-01-06,Credit Card,Cancelled
SALE00061,BUY009,SUP001,ORG008,PRD006,PRJ004,10,8643.7,2023-05-16,UPI,Pending
SALE00062,BUY002,SUP001,ORG001,PRD007,PRJ007,50,19230.5,2023-02-20,Bank Transfer,Pending
SALE00063,BUY003,SUP007,ORG010,PRD007,PRJ010,37,14230.57,2024-04-10,UPI,Pending
SALE00064,BUY002,SUP006,ORG007,PRD002,PRJ002,67,318819.5,2022-01-12,Wire Transfer,Completed
SALE00065,BUY010,SUP010,ORG007,PRD008,PRJ003,63,273688.38,2022-11-03,Wire Transfer,Completed
SALE00066,BUY001,SUP005,ORG010,PRD007,PRJ005,65,24999.65,2024-11-24,Credit Card,Cancelled
SALE00067,BUY004,SUP005,ORG002,PRD006,PRJ009,13,11236.81,2023-03-03,UPI,Completed
SALE00068,BUY006,SUP006,ORG006,PRD002,PRJ001,78,371163.0,2022-09-18,UPI,Pending
SALE00069,BUY004,SUP009,ORG003,PRD007,PRJ003,15,5769.15,2021-04-25,Wire Transfer,Completed
SALE00070,BUY004,SUP007,ORG003,PRD010,PRJ003,98,349816.88,2025-10-06,Credit Card,Completed
SALE00071,BUY003,SUP007,ORG008,PRD007,PRJ008,79,30384.19,2024-07-31,PayPal,Cancelled
SALE00072,BUY007,SUP004,ORG002,PRD004,PRJ005,50,151671.5,2024-08-27,Wire Transfer,Pending
SALE00073,BUY003,SUP009,ORG008,PRD002,PRJ008,53,252200.5,2021-04-21,Credit Card,Cancelled
SALE00074,BUY005,SUP004,ORG006,PRD007,PRJ007,82,31538.02,2021-07-11,UPI,Cancelled
SALE00075,BUY003,SUP005,ORG001,PRD007,PRJ001,5,1923.05,2021-06-22,Credit Card,Pending
SALE00076,BUY009,SUP009,ORG008,PRD010,PRJ004,43,153491.08,2025-03-24,Credit Card,Pending
SALE00077,BUY003,SUP004,ORG005,PRD007,PRJ008,87,33461.07,2025-12-24,PayPal,Completed
SALE00078,BUY004,SUP005,ORG009,PRD010,PRJ010,62,221312.72,2024-10-07,Credit Card,Pending
SALE00079,BUY010,SUP008,ORG007,PRD003,PRJ007,41,151157.57,2023-10-25,Wire Transfer,Pending
SALE00080,BUY005,SUP008,ORG008,PRD007,PRJ004,28,10769.08,2025-03-07,UPI,Pending
SALE00081,BUY004,SUP003,ORG006,PRD004,PRJ009,34,103136.62,2025-10-02,Credit Card,Cancelled
SALE00082,BUY009,SUP008,ORG010,PRD005,PRJ007,61,52733.89,2022-01-01,Wire Transfer,Completed
SALE00083,BUY006,SUP008,ORG004,PRD007,PRJ001,39,14999.79,2025-03-21,Credit Card,Completed
SALE00084,BUY002,SUP004,ORG004,PRD005,PRJ008,21,18154.29,2025-04-03,Bank Transfer,Pending
SALE00085,BUY004,SUP007,ORG002,PRD002,PRJ005,62,295027.0,2020-11-04,PayPal,Completed
SALE00086,BUY006,SUP006,ORG003,PRD002,PRJ008,37,176064.5,2020-06-29,Bank Transfer,Completed
SALE00087,BUY005,SUP008,ORG008,PRD001,PRJ005,69,133532.25,2021-02-15,UPI,Cancelled
SALE00088,BUY006,SUP007,ORG003,PRD008,PRJ009,19,82540.94,2024-12-17,PayPal,Completed
SALE00089,BUY003,SUP005,ORG005,PRD006,PRJ002,77,66556.49,2023-10-09,Wire Transfer,Cancelled
SALE00090,BUY007,SUP009,ORG010,PRD009,PRJ007,61,185773.06,2024-03-07,Bank Transfer,Completed
SALE00091,BUY005,SUP010,ORG009,PRD001,PRJ001,44,85151.0,2021-11-11,PayPal,Pending
SALE00092,BUY009,SUP003,ORG009,PRD006,PRJ010,26,22473.62,2021-10-21,Bank Transfer,Pending
SALE00093,BUY009,SUP008,ORG003,PRD002,PRJ001,44,209374.0,2023-05-23,Bank Transfer,Pending
SALE00094,BUY007,SUP010,ORG004,PRD006,PRJ005,3,2593.11,2021-06-19,UPI,Completed
SALE00095,BUY003,SUP002,ORG001,PRD009,PRJ010,39,118772.94,2020-12-14,Bank Transfer,Completed
SALE00096,BUY010,SUP009,ORG010,PRD007,PRJ006,1,384.61,2021-08-19,UPI,Cancelled
SALE00097,BUY010,SUP005,ORG002,PRD010,PRJ002,87,310551.72,2022-03-19,UPI,Completed
SALE00098,BUY008,SUP004,ORG007,PRD009,PRJ007,17,51772.82,2025-07-15,Bank Transfer,Completed
SALE00099,BUY007,SUP010,ORG003,PRD010,PRJ004,93,331969.08,2024-06-21,Wire Transfer,Pending
SALE00100,BUY007,SUP002,ORG001,PRD003,PRJ010,5,18433.85,2022-10-02,PayPal,Completed
SALE00101,BUY008,SUP006,ORG006,PRD008,PRJ004,58,251967.08,2024-06-12,Credit Card,Cancelled
SALE00102,BUY005,SUP001,ORG008,PRD001,PRJ004,28,54187.0,2023-06-18,UPI,Pending
SALE00103,BUY004,SUP010,ORG010,PRD002,PRJ006,97,461574.5,2023-01-12,UPI,Completed
SALE00104,BUY002,SUP004,ORG010,PRD005,PRJ002,27,23341.23,2025-11-26,Credit Card,Cancelled
SALE00105,BUY002,SUP006,ORG007,PRD002,PRJ002,11,52343.5,2021-02-25,PayPal,Pending
SALE00106,BUY001,SUP004,ORG006,PRD003,PRJ008,65,239640.05,2022-03-30,Wire Transfer,Pending
SALE00107,BUY009,SUP007,ORG007,PRD005,PRJ004,72,62243.28,2023-03-13,PayPal,Cancelled
SALE00108,BUY007,SUP002,ORG007,PRD010,PRJ005,84,299843.04,2022-07-11,UPI,Pending
SALE00109,BUY003,SUP003,ORG007,PRD002,PRJ003,19,90411.5,2023-02-17,Credit Card,Cancelled
SALE00110,BUY001,SUP006,ORG008,PRD002,PRJ003,23,109445.5,2025-01-09,Bank Transfer,Cancelled
SALE00111,BUY002,SUP009,ORG004,PRD010,PRJ008,90,321260.4,2020-03-02,UPI,Cancelled
SALE00112,BUY007,SUP009,ORG010,PRD003,PRJ001,18,66361.86,2020-02-06,Wire Transfer,Cancelled
SALE00113,BUY004,SUP005,ORG010,PRD010,PRJ004,14,49973.84,2025-03-25,Wire Transfer,Pending
SALE00114,BUY001,SUP009,ORG008,PRD003,PRJ001,22,81108.94,2022-03-04,Wire Transfer,Pending
SALE00115,BUY007,SUP009,ORG006,PRD003,PRJ003,40,147470.8,2023-04-19,Bank Transfer,Pending
SALE00116,BUY001,SUP003,ORG005,PRD001,PRJ004,94,181913.5,2023-06-24,UPI,Cancelled
SALE00117,BUY003,SUP001,ORG008,PRD006,PRJ008,97,83843.89,2024-12-19,PayPal,Pending
SALE00118,BUY007,SUP010,ORG001,PRD009,PRJ009,14,42636.44,2020-06-08,Credit Card,Pending
SALE00119,BUY001,SUP007,ORG006,PRD008,PRJ004,64,278032.64,2025-09-06,PayPal,Completed
SALE00120,BUY003,SUP002,ORG004,PRD002,PRJ005,54,256959.0,2020-05-04,Credit Card,Pending
SALE00121,BUY001,SUP002,ORG003,PRD010,PRJ006,22,78530.32,2021-09-05,Wire Transfer,Pending
SALE00122,BUY005,SUP001,ORG005,PRD004,PRJ008,36,109203.48,2020-11-03,PayPal,Completed
SALE00123,BUY008,SUP007,ORG002,PRD010,PRJ009,40,142782.4,2025-03-01,Wire Transfer,Cancelled
SALE00124,BUY002,SUP006,ORG002,PRD010,PRJ002,17,60682.52,2025-07-26,Bank Transfer,Pending
SALE00125,BUY005,SUP008,ORG009,PRD002,PRJ010,83,394955.5,2023-08-13,Bank Transfer,Cancelled
SALE00126,BUY007,SUP004,ORG009,PRD010,PRJ002,36,128504.16,2025-06-18,Credit Card,Cancelled
SALE00127,BUY004,SUP010,ORG005,PRD007,PRJ006,85,32691.85,2020-03-15,Wire Transfer,Pending
SALE00128,BUY006,SUP010,ORG010,PRD007,PRJ005,86,33076.46,2022-12-26,Credit Card,Pending
SALE00129,BUY007,SUP001,ORG006,PRD009,PRJ002,43,130954.78,2025-05-03,Bank Transfer,Cancelled
SALE00130,BUY004,SUP009,ORG005,PRD002,PRJ007,33,157030.5,2020-10-31,UPI,Cancelled
SALE00131,BUY001,SUP004,ORG008,PRD003,PRJ008,45,165904.65,2020-07-16,PayPal,Completed
SALE00132,BUY008,SUP007,ORG001,PRD007,PRJ008,19,7307.59,2021-09-16,Credit Card,Pending
SALE00133,BUY004,SUP006,ORG004,PRD003,PRJ001,39,143784.03,2021-02-16,Credit Card,Cancelled
SALE00134,BUY005,SUP007,ORG003,PRD010,PRJ004,89,317690.84,2023-04-15,UPI,Pending
SALE00135,BUY002,SUP004,ORG009,PRD008,PRJ009,12,52131.12,2021-08-17,PayPal,Pending
SALE00136,BUY002,SUP006,ORG003,PRD008,PRJ008,27,117295.02,2022-11-22,Wire Transfer,Completed
SALE00137,BUY005,SUP002,ORG002,PRD004,PRJ008,87,263908.41,2022-08-07,PayPal,Completed
SALE00138,BUY002,SUP007,ORG008,PRD002,PRJ004,19,90411.5,2025-12-14,Wire Transfer,Completed
SALE00139,BUY005,SUP003,ORG001,PRD001,PRJ009,49,94827.25,2025-12-09,UPI,Pending
SALE00140,BUY006,SUP002,ORG002,PRD004,PRJ004,34,103136.62,2020-07-28,Wire Transfer,Cancelled
SALE00141,BUY008,SUP010,ORG007,PRD007,PRJ008,51,19615.11,2020-06-06,UPI,Completed
SALE00142,BUY009,SUP007,ORG001,PRD006,PRJ006,25,21609.25,2020-09-17,Bank Transfer,Completed
SALE00143,BUY003,SUP005,ORG006,PRD004,PRJ008,74,224473.82,2021-06-12,Wire Transfer,Completed
SALE00144,BUY006,SUP006,ORG005,PRD005,PRJ006,92,79533.08,2021-03-18,Wire Transfer,Completed
SALE00145,BUY010,SUP007,ORG001,PRD002,PRJ005,45,214132.5,2025-03-19,PayPal,Cancelled
SALE00146,BUY008,SUP001,ORG005,PRD005,PRJ005,78,67430.22,2024-01-17,PayPal,Pending
SALE00147,BUY008,SUP007,ORG003,PRD004,PRJ002,78,236607.54,2023-05-24,PayPal,Cancelled
SALE00148,BUY010,SUP003,ORG002,PRD008,PRJ004,97,421393.22,2021-01-28,PayPal,Completed
SALE00149,BUY003,SUP006,ORG009,PRD008,PRJ006,52,225901.52,2023-10-14,PayPal,Cancelled
SALE00150,BUY010,SUP009,ORG001,PRD006,PRJ005,22,19016.14,2025-04-29,Wire Transfer,Cancelled
SALE00151,BUY001,SUP006,ORG009,PRD007,PRJ009,61,23461.21,2021-09-22,Wire Transfer,Completed
SALE00152,BUY008,SUP001,ORG009,PRD001,PRJ006,70,135467.5,2022-12-15,Bank Transfer,Cancelled
SALE00153,BUY010,SUP009,ORG008,PRD008,PRJ010,52,225901.52,2020-10-22,Wire Transfer,Completed
SALE00154,BUY004,SUP009,ORG003,PRD005,PRJ004,51,44088.99,2024-12-04,PayPal,Completed
SALE00155,BUY009,SUP005,ORG006,PRD009,PRJ006,95,289318.7,2021-11-01,UPI,Pending
SALE00156,BUY010,SUP006,ORG006,PRD003,PRJ010,37,136410.49,2024-04-01,UPI,Completed
SALE00157,BUY003,SUP004,ORG005,PRD006,PRJ009,77,66556.49,2023-10-24,Credit Card,Completed
SALE00158,BUY003,SUP010,ORG002,PRD002,PRJ001,67,318819.5,2020-06-13,UPI,Completed
SALE00159,BUY007,SUP008,ORG004,PRD003,PRJ006,60,221206.2,2023-08-23,Credit Card,Completed
SALE00160,BUY002,SUP004,ORG004,PRD006,PRJ006,21,18151.77,2021-02-22,PayPal,Pending
SALE00161,BUY007,SUP008,ORG009,PRD004,PRJ009,65,197172.95,2025-05-05,Credit Card,Completed
SALE00162,BUY009,SUP001,ORG009,PRD007,PRJ002,39,14999.79,2024-02-11,Credit Card,Pending
SALE00163,BUY001,SUP008,ORG009,PRD002,PRJ006,12,57102.0,2023-08-24,Credit Card,Cancelled
SALE00164,BUY007,SUP009,ORG007,PRD009,PRJ005,71,216227.66,2024-02-23,Bank Transfer,Completed
SALE00165,BUY001,SUP003,ORG008,PRD001,PRJ010,40,77410.0,2021-05-09,Bank Transfer,Pending
SALE00166,BUY005,SUP006,ORG001,PRD002,PRJ004,41,195098.5,2022-02-13,UPI,Cancelled
SALE00167,BUY007,SUP003,ORG006,PRD010,PRJ008,10,35695.6,2021-11-12,UPI,Pending
SALE00168,BUY006,SUP008,ORG006,PRD009,PRJ004,51,155318.46,2024-07-13,Bank Transfer,Pending
SALE00169,BUY009,SUP007,ORG006,PRD001,PRJ008,12,23223.0,2025-06-13,Wire Transfer,Completed
SALE00170,BUY004,SUP010,ORG010,PRD007,PRJ009,40,15384.4,2022-04-20,Bank Transfer,Cancelled
SALE00171,BUY004,SUP001,ORG003,PRD006,PRJ005,58,50133.46,2021-04-19,UPI,Completed
SALE00172,BUY008,SUP010,ORG006,PRD007,PRJ006,26,9999.86,2022-12-19,PayPal,Pending
SALE00173,BUY002,SUP002,ORG010,PRD010,PRJ008,56,199895.36,2022-10-06,Bank Transfer,Completed
SALE00174,BUY002,SUP005,ORG006,PRD001,PRJ004,35,67733.75,2020-08-25,Bank Transfer,Completed
SALE00175,BUY001,SUP008,ORG001,PRD007,PRJ006,46,17692.06,2024-10-22,PayPal,Pending
SALE00176,BUY002,SUP001,ORG004,PRD007,PRJ009,56,21538.16,2024-06-05,Bank Transfer,Completed
SALE00177,BUY010,SUP002,ORG008,PRD002,PRJ008,23,109445.5,2025-10-18,Wire Transfer,Pending
SALE00178,BUY004,SUP008,ORG004,PRD008,PRJ007,57,247622.82,2025-03-30,Wire Transfer,Cancelled
SALE00179,BUY004,SUP007,ORG006,PRD002,PRJ004,17,80894.5,2024-01-31,Wire Transfer,Completed
SALE00180,BUY010,SUP004,ORG001,PRD004,PRJ009,83,251774.69,2020-12-10,UPI,Completed
SALE00181,BUY003,SUP008,ORG002,PRD001,PRJ009,67,129661.75,2025-11-16,Bank Transfer,Pending
SALE00182,BUY007,SUP007,ORG002,PRD005,PRJ009,29,25070.21,2025-11-05,Bank Transfer,Pending
SALE00183,BUY005,SUP001,ORG002,PRD001,PRJ006,47,90956.75,2022-11-28,Wire Transfer,Cancelled
SALE00184,BUY005,SUP009,ORG009,PRD006,PRJ002,66,57048.42,2025-06-05,UPI,Pending
SALE00185,BUY005,SUP006,ORG005,PRD009,PRJ002,34,103545.64,2022-09-12,UPI,Completed
SALE00186,BUY006,SUP006,ORG006,PRD009,PRJ003,55,167500.3,2021-07-02,Wire Transfer,Completed
SALE00187,BUY006,SUP003,ORG009,PRD002,PRJ007,58,275993.0,2023-08-02,UPI,Pending
SALE00188,BUY001,SUP010,ORG009,PRD007,PRJ005,5,1923.05,2023-01-03,Wire Transfer,Completed
SALE00189,BUY008,SUP010,ORG005,PRD004,PRJ002,58,175938.94,2022-11-15,PayPal,Cancelled
SALE00190,BUY009,SUP010,ORG003,PRD001,PRJ009,25,48381.25,2023-01-01,Credit Card,Pending
SALE00191,BUY006,SUP003,ORG006,PRD004,PRJ001,54,163805.22,2025-08-16,UPI,Cancelled
SALE00192,BUY004,SUP002,ORG005,PRD005,PRJ001,75,64836.75,2023-10-19,UPI,Cancelled
SALE00193,BUY002,SUP010,ORG008,PRD009,PRJ007,89,271045.94,2024-10-21,Credit Card,Pending
SALE00194,BUY006,SUP006,ORG002,PRD004,PRJ008,45,136504.35,2025-12-03,UPI,Completed
SALE00195,BUY007,SUP009,ORG004,PRD007,PRJ007,48,18461.28,2022-05-02,UPI,Pending
SALE00196,BUY010,SUP008,ORG002,PRD007,PRJ006,72,27691.92,2025-11-26,UPI,Pending
SALE00197,BUY006,SUP003,ORG004,PRD002,PRJ010,48,228408.0,2020-09-07,Wire Transfer,Completed
SALE00198,BUY009,SUP005,ORG002,PRD003,PRJ005,22,81108.94,2022-03-23,Bank Transfer,Pending
SALE00199,BUY009,SUP008,ORG005,PRD005,PRJ008,63,54462.87,2023-08-12,PayPal,Completed
SALE00200,BUY008,SUP002,ORG007,PRD010,PRJ007,14,49973.84,2022-10-27,Bank Transfer,Completed
SALE00201,BUY006,SUP004,ORG009,PRD007,PRJ009,41,15769.01,2025-12-14,PayPal,Pending
SALE00202,BUY005,SUP008,ORG010,PRD007,PRJ010,81,31153.41,2022-08-11,Credit Card,Cancelled
SALE00203,BUY005,SUP009,ORG006,PRD008,PRJ006,66,286721.16,2023-01-01,Credit Card,Cancelled
SALE00204,BUY001,SUP008,ORG001,PRD002,PRJ005,23,109445.5,2020-08-27,Wire Transfer,Pending
SALE00205,BUY006,SUP004,ORG010,PRD005,PRJ002,23,19883.27,2021-04-15,Bank Transfer,Cancelled
SALE00206,BUY007,SUP007,ORG009,PRD007,PRJ003,55,21153.55,2022-01-06,Credit Card,Pending
SALE00207,BUY007,SUP007,ORG004,PRD010,PRJ005,31,110656.36,2020-05-19,Bank Transfer,Pending
SALE00208,BUY004,SUP002,ORG003,PRD009,PRJ003,49,149227.54,2023-09-25,UPI,Cancelled
SALE00209,BUY008,SUP007,ORG005,PRD003,PRJ001,43,158531.11,2020-02-14,UPI,Pending
SALE00210,BUY001,SUP010,ORG004,PRD010,PRJ005,24,85669.44,2022-10-22,Bank Transfer,Completed
SALE00211,BUY010,SUP004,ORG005,PRD010,PRJ006,42,149921.52,2021-06-20,Bank Transfer,Cancelled
SALE00212,BUY006,SUP003,ORG009,PRD009,PRJ001,33,100500.18,2023-02-19,UPI,Cancelled
SALE00213,BUY003,SUP010,ORG009,PRD010,PRJ005,100,356956.0,2021-12-15,UPI,Completed
SALE00214,BUY008,SUP005,ORG004,PRD003,PRJ010,83,306001.91,2022-04-04,Credit Card,Cancelled
SALE00215,BUY010,SUP002,ORG007,PRD005,PRJ001,26,22476.74,2021-08-13,UPI,Cancelled
SALE00216,BUY005,SUP008,ORG010,PRD008,PRJ008,41,178114.66,2020-05-12,Credit Card,Completed
SALE00217,BUY002,SUP009,ORG007,PRD005,PRJ008,79,68294.71,2021-07-14,Bank Transfer,Pending
SALE00218,BUY005,SUP007,ORG002,PRD002,PRJ001,40,190340.0,2022-12-31,PayPal,Pending
SALE00219,BUY006,SUP007,ORG007,PRD002,PRJ008,57,271234.5,2023-05-05,UPI,Cancelled
SALE00220,BUY005,SUP008,ORG010,PRD002,PRJ002,22,104687.0,2023-03-20,Wire Transfer,Cancelled
SALE00221,BUY005,SUP008,ORG005,PRD008,PRJ001,6,26065.56,2021-11-08,Wire Transfer,Completed
SALE00222,BUY001,SUP003,ORG001,PRD008,PRJ009,80,347540.8,2020-03-25,PayPal,Pending
SALE00223,BUY007,SUP010,ORG009,PRD002,PRJ010,84,399714.0,2020-08-28,UPI,Completed
SALE00224,BUY008,SUP006,ORG002,PRD004,PRJ005,32,97069.76,2025-03-27,Bank Transfer,Completed
SALE00225,BUY006,SUP001,ORG003,PRD010,PRJ006,26,92808.56,2024-11-03,PayPal,Cancelled
SALE00226,BUY003,SUP005,ORG003,PRD009,PRJ002,38,115727.48,2025-05-06,Credit Card,Completed
SALE00227,BUY008,SUP004,ORG007,PRD007,PRJ010,40,15384.4,2025-10-03,Credit Card,Completed
SALE00228,BUY005,SUP002,ORG001,PRD008,PRJ004,22,95573.72,2023-02-04,Credit Card,Pending
SALE00229,BUY001,SUP006,ORG003,PRD002,PRJ002,4,19034.0,2025-05-21,UPI,Completed
SALE00230,BUY010,SUP002,ORG001,PRD010,PRJ006,47,167769.32,2021-08-11,Credit Card,Completed
SALE00231,BUY001,SUP001,ORG009,PRD008,PRJ003,76,330163.76,2021-08-10,Credit Card,Pending
SALE00232,BUY003,SUP007,ORG006,PRD003,PRJ002,82,302315.14,2020-07-11,UPI,Completed
SALE00233,BUY001,SUP004,ORG007,PRD002,PRJ002,5,23792.5,2021-04-06,Wire Transfer,Completed
SALE00234,BUY008,SUP003,ORG002,PRD005,PRJ005,97,83855.53,2021-07-05,Wire Transfer,Cancelled
SALE00235,BUY008,SUP008,ORG001,PRD005,PRJ004,85,73481.65,2021-03-02,Wire Transfer,Completed
SALE00236,BUY005,SUP010,ORG007,PRD005,PRJ005,33,28528.17,2025-09-30,Credit Card,Cancelled
SALE00237,BUY008,SUP009,ORG010,PRD002,PRJ009,61,290268.5,2022-07-17,UPI,Cancelled
SALE00238,BUY005,SUP008,ORG009,PRD006,PRJ008,5,4321.85,2025-05-17,UPI,Cancelled
SALE00239,BUY009,SUP003,ORG002,PRD010,PRJ010,83,296273.48,2025-05-04,Credit Card,Pending
SALE00240,BUY008,SUP006,ORG004,PRD002,PRJ008,22,104687.0,2025-05-10,PayPal,Pending
SALE00241,BUY001,SUP008,ORG009,PRD009,PRJ002,76,231454.96,2023-03-31,UPI,Completed
SALE00242,BUY009,SUP006,ORG004,PRD008,PRJ009,17,73852.42,2023-04-14,Bank Transfer,Cancelled
SALE00243,BUY008,SUP005,ORG006,PRD010,PRJ003,92,328399.52,2023-05-29,PayPal,Completed
SALE00244,BUY010,SUP009,ORG007,PRD006,PRJ008,75,64827.75,2025-07-04,Credit Card,Pending
